ngroup ra dec z Delta ngal pval_ds ind pval_sw pval_sf pval_ad pval_cvm pval_lillie pval_pearson Delta2 mag_max id_mer
11158559 205.761784532329 29.01336534288 0.0215728222511111 1.35190581327386 45 0.0333333333333333 -1 0.151574505436872 0.209992681256051 0.0914600637969761 0.103633161285508 0.0468964667424957 0.148610263882599 1.51607848667042 14.895989418 0
11158608 200.388351038884 34.4781755146263 0.0217432106210526 0.956117715359924 38 0.333333333333333 -1 0.100675914977036 0.213285419914941 0.232853301377814 0.343866924694938 0.293548451728497 0.655318567002399 0.928257627425177 14.8353633881 0
11158840 152.674484745158 -0.260923128216129 0.0176202257419355 1.10536195510265 31 0.133333333333333 -1 0.489889187841941 0.613292659143363 0.48985371128034 0.447734063844757 0.181215520524113 0.807687168957901 1.14362725167007 14.7006893158 0
11158876 136.957493286137 0.88101597548 0.021036569978 2.08812106319327 100 0 8 0.796369182340686 0.778406213754631 0.761728372120184 0.7650904417138 0.715741152126419 0.663954450438091 2.08812106319327 14.5115022659 0
11161500 238.191997951936 21.8260634740222 0.0172630278583333 0.627575710703554 36 0.933333333333333 -1 0.0149744842088193 0.0445747000689891 0.021454392425233 0.0411156098678408 0.0289212181989235 0.320847198862134 0.868992706356098 14.6711530685 0
11161917 251.262997180434 40.5212444492154 0.0173262867265734 1.49935427538167 143 0 7 0.0260857698747933 0.0495532674613768 0.0365883830226478 0.0483866777973493 0.0851076351659683 0.29892559916016 1.48198972925879 14.5242395401 0
22214684 24.2949910163944 13.7828388214139 0.0763116667305555 1.1046971182516 36 0.4 3 0.763842765181135 0.810867061264256 0.733468434686339 0.653635920566572 0.554223073815987 0.423190081126844 1.27204029838402 14.5046253204 1
22236532 229.471286497251 14.1692760992739 0.0752112460492754 1.33014566293354 69 0.0333333333333333 5 0.00819561665202262 0.0233413577397617 0.0128638630832407 0.0298955220423931 0.134539271091837 0.345977014021409 1.38913196226741 15.4522790909 1
22249803 201.46701049805 27.6293624964568 0.0723168868613636 1.25530335693073 44 0.266666666666667 -1 0.444759751395855 0.645696277135434 0.625904542041217 0.600456452864026 0.334133034816939 0.75861358688336 1.42522465863448 14.9795255661 1
22252029 244.094767128551 12.9217927979268 0.0184400488243902 1.7346854153163 41 0 7 0.199820918573109 0.257178573820912 0.255161058517203 0.235711365290478 0.327114725647156 0.735840278114542 1.5553445881072 14.5327882767 1
22259504 190.735415188774 16.5162887933132 0.0350226417641509 0.898316144390513 53 0.566666666666667 -1 0.168771544682007 0.32452352295627 0.228098672715828 0.250102816635969 0.40621801804878 0.448786103583618 1.01083991608916 14.7236919403 1
222145 177.925254211428 24.104186630254 0.020013700008 1.61522360068387 50 0 3 0.117229163120934 0.182466171938156 0.232469637212186 0.340155220023064 0.293644951088737 0.587150983772338 1.48185872897209 14.5321035385 0
222437 176.558513488769 46.089493331907 0.041466880071 2.48957770013866 100 0 2 0.136846760779774 0.268052329902829 0.142978612063146 0.117305551377552 0.0585519584345457 0.336123620039252 2.48957770013866 14.6620664597 0
222675 178.427456965218 11.2594725499377 0.0444545245147541 1.10743843634562 61 0.233333333333333 5 0.202133440536331 0.323824251409111 0.129696109151809 0.100894943493912 0.025597286866693 0.13449377253505 1.11692974835773 14.5883340836 0
2221008 177.67969109031 41.8467736337706 0.0811955490549019 1.7786662927395 51 0 7 0.891319717090768 0.949131524818729 0.876876558347976 0.826230705996205 0.901272741171192 0.892161701444325 1.79658271177885 16.0950260162 0
2221111 179.283636856075 38.3638775825525 0.0808552497975 1.01023217267916 40 0.266666666666667 -1 0.688024393865284 0.815745945030262 0.860305937663744 0.906136729608599 0.990880447934633 0.487520365903656 0.916159138524368 15.1176128387 0
2222291 169.374907549685 39.6609136918029 0.0443726762764706 1.30659916792203 34 0.0333333333333333 5 0.0481981953256957 0.0861815590866656 0.089997427655781 0.15864182721379 0.500352376079723 0.251319232520006 1.51376314398456 14.7411193848 0
2223636 157.722132738899 35.8655396629772 0.0238521248926471 1.8990468908954 136 0 -1 0.337254978647944 0.465672141766922 0.439175878161554 0.429590433656122 0.602461467279341 0.23585511153192 1.91669089518973 14.527639389 0
2223646 149.472708917432 36.4345101387323 0.0237052257935484 0.844991984124808 31 0.7 -1 0.622617873875571 0.651484826328513 0.395737063604888 0.274298397667453 0.315025489353729 0.37048499113552 1.02189223678066 14.6112098694 0
2224465 5.97082762782838 -10.2502130237818 0.0957060875608108 1.48067383289859 148 0 -1 0.0474678689619683 0.105129255026985 0.0569635137081944 0.0858269137444353 0.156808664426555 0.330086662264723 1.45697158834437 14.8578567505 0
