ngroup ra dec z mag color delta Delta pval_ds ngal sw_gal sf_gal ad_gal cvm_gal lillie_gal pearson_gal sw_cum sf_cum ad_cum cvm_cum lillie_cum pearson_cum col_cum mag_cum ind_cum id
77711585 172.0124053955 11.7873458862 0.0316819996 16.4960517883 0.805200576800001 4.60786046965329 2.42902188106907 0 131 0.29137921273581 0.326562827155398 0.263450101311718 0.218810658632488 0.0732316624480824 0.132778358022231 0.0993086537527301 0.15377847790304 0.0210551612478479 0.00994578536702645 0.00336580870227391 0.0447607637650853 0.685604801616031 14.5435152054 6 1
3335006 131.1890563965 43.9262695312 0.0407610014 17.3299789429 0.720090866100001 1.58136786682917 1.34212180795343 0.0333333333333333 117 0.0165304059049237 0.0246930696049556 0.017887573052017 0.0264156308587635 0.097343131238401 0.132778358022231 0.0339724536977695 0.104998323072762 0.215343162465925 0.393685794041506 0.351184139365704 0.75173650457246 0.663702932182051 14.814365387 -1 0
66612467 48.503112793 0.7403190136 0.0310130008 15.8111095428 0.740383148199999 1.11413785957552 1.53116174040777 0 136 0.37021066813738 0.170801058197584 0.233093118838277 0.216121265454837 0.174967780861831 0.572406704470879 0.0563215879887284 0.076709676813093 0.0347958884201041 0.0344873957370696 0.0344823636503796 0.426972765997814 0.714039809561765 14.6520910263 6 1
6665814 167.7647857666 3.7461700439 0.0453470014 16.4812679291 0.755029678300001 0.93981229991465 1.36211447837139 0 98 0.97469962447626 0.970689832889046 0.960306263525271 0.987043170295539 0.9985506004136 0.849467033391825 0.26189509360886 0.422669866262009 0.262788353068089 0.271030613781883 0.119782262912086 0.261223249225991 0.679101690957143 14.5924358368 -1 1
11140048 146.5406036377 26.9441413879 0.0593379997 17.7454681396 0.795206069999999 2.11794040741336 1.50054182867553 0 142 0.978007907314409 0.985375503950836 0.923678958694748 0.893795295536065 0.835568544423952 0.572406704470879 0.421188876561396 0.601983261893506 0.627947898532803 0.808537752580947 0.708157436981108 0.679919335887116 0.682457802998591 14.9124984741 15 1
6661232 179.4427032471 49.6611175537 0.0266740005 15.1649198532 0.752681732199999 1.5690029702668 1.72407515342846 0 275 0.385044378714265 0.587664652838391 0.507359622015883 0.600315308984519 0.735109097359694 0.221385387189488 0.292043854712225 0.533506865925292 0.671892312574172 0.780730237076425 0.486260443509899 0.204287274925554 0.695836798931273 14.5827312469 -1 0
22260668 189.7016906738 57.3510169983 0.0264079999 16.7600193024 0.745824813799999 2.12224759538975 1.42097522415906 0 109 0.202315110499454 0.166261303463757 0.180146908434237 0.161283573745502 0.0458642843693171 0.361805027497532 0.00886395220104256 0.0283654594782702 0.0484023696810475 0.158376994200754 0.381917569129512 0.210045034152771 0.702365227797248 14.5410690308 -1 0
44410381 229.4320678711 11.9551076889 0.0237770006 16.6408519745 0.656446456900003 0.790606730970084 1.40282427720207 0.0666666666666667 50 0.0637538356670903 0.06043237671258 0.0581045279282115 0.0553148185594511 0.164341376335756 0.132778358022231 0.614149246307993 0.690138986860597 0.844851634644365 0.864599201821003 0.87422471659753 0.587150983772338 0.708656501762 14.6534614563 9 0
88811058 210.0278320312 19.9032917023 0.0510680005 16.9360141754 0.748546600400001 0.34116991450275 1.06183647416508 0.5 61 0.462658808595575 0.463454720327437 0.508723314735854 0.517308743541271 0.453180701534252 0.361805027497532 0.157404989784169 0.270964036686395 0.232900412711013 0.244812881867373 0.0847788517091374 0.57780448195887 0.714376449586885 14.5212688446 -1 1
22242434 230.6622619629 39.2032623291 0.0677359998 16.7233009338 0.730073928899998 1.02688035667997 1.26139069892303 0.1 42 0.500034873781282 0.52434359527278 0.510735164750412 0.541085727732941 0.708346487075919 0.132778358022231 0.0992645544130792 0.10081230843746 0.0484812466530826 0.041880294833044 0.122743791930166 0.0722417348577706 0.709990978240476 14.6658735275 3 0
