ngroup ra dec z ngal color mag_max gap_mag Delta Delta2 pval_ds ind pval_sw pval_sf pval_ad pval_cvm pval_lillie pval_pearson id_mer
55552064 197.312454223629 8.72882712227429 0.0284686571257143 35 0.712328120634285 14.6599445343 0.0900707245000003 0.679908393477537 0.860853864504824 0.86 2 0.0217846942159815 0.0509733229700115 0.0192739812919799 0.0258125069660234 0.0741577032962446 0.0233508927164492 0
3333302 126.003843761626 18.3940936497238 0.0282076191428571 42 0.68078408922619 14.5151605606 0.562186241199999 1.12186360434262 1.14700314838534 0.25 2 0.424475797540632 0.646371194250706 0.635838563840403 0.796127447732775 0.817145716520499 0.972439585991557 0
77715106 172.129585266104 39.7124722522261 0.0451437823673913 46 0.684527210571739 15.5503177643 0.0360212325999996 1.37910338091006 1.30991316581211 0.05 2 0.306244648417484 0.445120025315964 0.428206881260778 0.433221808314909 0.573838923263642 0.302924152693756 0
11160559 242.812641309655 39.0269555354471 0.0254233550369565 138 0.669440172715942 14.5766220093 0.0126647949000009 1.52948112544336 1.52308274244046 0 2 0.391556958974976 0.593838850243295 0.593909482077083 0.650188436967546 0.531849756361392 0.827596057141553 0
66663782 185.19547481813 42.2699300793667 0.0148721015028986 69 0.703089976656522 14.5572013855 0.0852060317999985 1.19127231029139 1.24163832672967 0.08 2 0.584688871162599 0.744880252141944 0.597471095294167 0.630804616363215 0.374165171321282 0.319602002384794 0
4443749 212.7362704546 4.88521592433846 0.0130996256379487 195 0.675065290008718 14.5084991455 0.0169410705999997 1.42795025038613 1.50050817474971 0 2 0.00221352173838817 0.00849798973565808 0.0120147571877549 0.0412087350832149 0.0407845765131874 0.250484340512289 0
4443535 196.739979771194 49.7735637119886 0.0290785716028571 35 0.73860465458 14.734333992 0.0040054320999996 1.09282784621018 1.12725893389697 0.11 2 0.231070400257519 0.425113241429919 0.324094797501892 0.293734427690603 0.25807067123225 0.00698732159594128 0
4443744 204.630176459418 27.5025533888067 0.0122214221444444 45 0.648716502715556 14.5392456055 0.2065782547 1.08191397122361 1.21755366591109 0.25 2 0.990374776577252 0.987646527312712 0.9921016046091 0.994515000235021 0.834045705674026 0.904770598977728 0
33310088 253.281168320603 31.8276941075029 0.110583646761765 34 0.6796189196 14.9227828979 1.0549173356 1.32872768510116 1.37986240615111 0.01 2 0.312386155762163 0.46665818273218 0.357808855331273 0.365972377464541 0.443414928112656 0.732195766836088 0
55540897 219.33255293563 12.712442294973 0.054175756772973 37 0.62844446544054 15.1135625839 0.189508438099999 1.18482872691356 1.30727365676098 0.09 2 0.650721202391351 0.815763481003806 0.663846417034268 0.633204620110016 0.55999639342822 0.417162252997088 0
3336329 252.008502462641 35.2140169005449 0.0831470433362319 69 0.697952505469565 15.4533367157 0.131659507699998 1.5380590710661 1.58411315768424 0 2 0.255727268847293 0.48277735824965 0.52009541415961 0.733799529637764 0.763664064469841 0.673187981372765 0
44459537 172.55250815295 31.8809434208275 0.030483431259633 109 0.677440065858716 14.5400190353 0.2030906678 0.911972909951426 0.911972909951426 0.69 2 0.000199166865226816 0.000928941776462545 3.56434797471259e-05 0.000138415869333433 0.0013055140390881 0.00105097445272194 1
3332117 129.988599526765 37.8814216382545 0.0244167272121212 99 0.678411165867677 14.5316858292 0.00257587429999973 1.50740825421746 1.49971438028379 0 2 0.319817051001985 0.524343785760213 0.49338873083174 0.565099221583839 0.331575086603883 0.703345252592817 1
8888211 221.409609476733 15.4053168031861 0.0254166390083333 36 0.729725466833333 14.9760942459 0.050601005599999 0.985717190470606 1.03682890466156 0.41 2 0.280154380203336 0.269079816655202 0.160285756442959 0.162716738596498 0.26176336482548 0.320847198862134 0
4447342 318.226750260698 -0.0821097291271186 0.0243716103186441 59 0.664890353957627 14.5561990738 0.0872440337999993 1.77035390778089 1.76916812954268 0 2 0.0727154797337639 0.15696983820594 0.079514301454704 0.10580991154245 0.174820929455887 0.556875498869189 0
8887810 199.797492658586 25.9441292185141 0.0521893380098592 71 0.717627632783099 15.285194397 0.1578969955 1.3604673568385 1.44848238947483 0.05 2 0.54585857770476 0.663616207184104 0.662866887049755 0.632980790767552 0.642565722518681 0.507419313066852 0
66634316 122.96453537479 11.412504226929 0.112718580958065 31 0.675138411980645 14.7647323608 0.0242843627999996 0.663399027940769 1.17530212361862 0.87 2 0.080806503488318 0.155677907520219 0.0896622336566818 0.110420072393092 0.278486140048274 0.225482845973741 0
33352380 28.1754110686531 14.489961098651 0.0668232044 49 0.716619744587755 14.7352552414 0.631725311299999 1.33682305195761 1.26156792417693 0.03 2 0.116537520142888 0.228770368143533 0.249004108092362 0.408319698677755 0.37067957890643 0.796076973035551 0
7777673 120.078438637473 54.4230889060273 0.0904942729254545 55 0.704824066156364 15.2335481644 0.5043935775 1.01358071351139 1.09892722909445 0.44 2 0.563521236118468 0.687866538287288 0.390096003945992 0.248985164700495 0.436357317628584 0.550403651296795 0
